"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"所定外労働時間（総数）","TL調査産業計","５人以上","2006.0","119.9","116.8","114.0","116.8","121.0","112.6","114.0","121.0","119.7","121.0","122.5","130.8","128.0"
"所定外労働時間（総数）","TL調査産業計","５人以上","2007.0","125.2","126.1","128.0","131.1","135.4","124.0","124.5","127.5","118.9","121.8","115.8","120.0","129.1"
"所定外労働時間（総数）","TL調査産業計","５人以上","2008.0","118.6","117.1","126.0","134.9","129.0","117.2","116.3","121.3","113.4","111.3","106.9","111.9","117.7"
"所定外労働時間（総数）","TL調査産業計","５人以上","2009.0","99.5","103.3","95.4","102.3","106.4","101.1","106.6","91.9","93.3","89.3","96.2","104.4","103.2"
"所定外労働時間（総数）","TL調査産業計","５人以上","2010.0","100.0","93.8","98.0","102.2","107.6","101.0","101.1","93.1","95.9","102.7","100.1","98.9","105.8"
"所定外労働時間（総数）","TL調査産業計","５人以上","2011.0","107.5","100.4","103.2","100.6","96.7","95.3","102.4","114.9","116.4","113.7","112.4","116.8","116.9"
"所定外労働時間（総数）","TL調査産業計","５人以上","2012.0","113.4","110.7","114.7","118.7","120.0","117.3","112.0","112.0","108.0","109.3","105.3","112.0","121.3"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2007.0","4.5","8.0","12.3","12.3","12.0","10.2","9.2","5.4","-0.7","0.7","-5.4","-8.2","0.9"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2008.0","-5.2","-7.1","-1.6","2.8","-4.7","-5.5","-6.6","-4.9","-4.6","-8.6","-7.7","-6.8","-8.9"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2009.0","-16.1","-11.8","-24.3","-24.2","-17.6","-13.7","-8.3","-24.3","-17.7","-19.7","-10.0","-6.7","-12.3"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2010.0","0.6","-9.3","2.7","-0.1","1.2","-0.1","-5.1","1.3","2.8","15.0","4.0","-5.3","2.5"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2011.0","7.5","7.1","5.4","-1.5","-10.2","-5.7","1.3","23.5","21.4","10.7","12.4","18.1","10.5"
"所定外労働時間（総数）（前年比）","TL調査産業計","５人以上","2012.0","5.5","10.3","11.1","18.0","24.1","23.1","9.4","-2.5","-7.2","-3.9","-6.3","-4.1","3.8"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
